,Product Name,Product Code,Regular Price,Happy Price,Discount,Page Link,Image Link,Category
2426,Gorenje GS620E10W,Шифра: 77172,"23,999 Ден.","18,995 Ден.",-21%,https://setec.mk/бела-техника/машини-за-миење-на-садови/gorenje-gs620e10w77172,https://setec.mk/image/cache/catalog/Product/77172_0-228x228.jpg,Бела Техника
2427,HOTPOINT ARISTON HFC 2B19X,Шифра: 71945,"26,999 Ден.","18,995 Ден.",-30%,https://setec.mk/бела-техника/машини-за-миење-на-садови/hotpoint-ariston-hfc-2b19x71945,https://setec.mk/image/cache/catalog/Product/71945_0-228x228.jpg,Бела Техника
2428,INDESIT DFC 2B+19 AC,Шифра: 73815,"26,999 Ден.","18,995 Ден.",-30%,https://setec.mk/бела-техника/машини-за-миење-на-садови/indesit-dfc-2b-19-ac73815,https://setec.mk/image/cache/catalog/Product/73815_0-228x228.jpg,Бела Техника
2429,TELEFUNKEN TDW C13,Шифра: 69263,"15,999 Ден.","13,859 Ден.",-13%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-45цм/telefunken-tdw-c1369263,https://setec.mk/image/cache/catalog/Product/69263_0-228x228.jpg,Бела Техника
2430,MIDEA WQP8-7636W LCD,Шифра: 73354,"19,999 Ден.","14,139 Ден.",-29%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-45цм/midea-wqp8-7636w-lcd73354,https://setec.mk/image/cache/catalog/Product/73354_0-228x228.jpg,Бела Техника
2431,MIDEA WQP8-7636B LCD,Шифра: 77744,"20,999 Ден.","14,629 Ден.",-30%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-45цм/midea-wqp8-7636b-lcd77744,https://setec.mk/image/cache/catalog/Product/77744_0-228x228.jpg,Бела Техника
2432,MIDEA WQP8-7636S LCD,Шифра: 73355,"20,999 Ден.","14,629 Ден.",-30%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-45цм/midea-wqp8-7636s-lcd73355,https://setec.mk/image/cache/catalog/Product/73355_0-228x228.jpg,Бела Техника
2433,TELEFUNKEN TDW C13S,Шифра: 70461,"16,999 Ден.","14,849 Ден.",-13%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-45цм/telefunken-tdw-c13s70461,https://setec.mk/image/cache/catalog/Product/70461_0-228x228.jpg,Бела Техника
2434,TELEFUNKEN TDW C136W LCD,Шифра: 76479,"17,999 Ден.","16,409 Ден.",-9%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-45цм/telefunken-tdw-c136w-lcd76479,https://setec.mk/image/cache/catalog/Product/76479_0-228x228.jpg,Бела Техника
2435,INDESIT DSFE 1B10,Шифра: 72383,"21,999 Ден.","16,995 Ден.",-23%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-45цм/indesit-dsfe-1b1072383,https://setec.mk/image/cache/catalog/Product/72383_0-228x228.jpg,Бела Техника
2436,TELEFUNKEN TDW C136B LCD,Шифра: 76481,"18,999 Ден.","17,009 Ден.",-10%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-45цм/telefunken-tdw-c136b-lcd76481,https://setec.mk/image/cache/catalog/Product/76481_0-228x228.jpg,Бела Техника
2437,TELEFUNKEN TDW C136S LCD,Шифра: 76480,"18,999 Ден.","17,009 Ден.",-10%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-45цм/telefunken-tdw-c136s-lcd76480,https://setec.mk/image/cache/catalog/Product/76480_0-228x228.jpg,Бела Техника
2438,INDESIT DSFE 1B10 S,Шифра: 72382,"22,999 Ден.","17,995 Ден.",-22%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-45цм/indesit-dsfe-1b10-s72382,https://setec.mk/image/cache/catalog/Product/72382_0-228x228.jpg,Бела Техника
2439,WHIRLPOOL WSFE 2B19 EU,Шифра: 72337,"26,999 Ден.","18,995 Ден.",-30%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-45цм/whirlpool-wsfe-2b19-eu72337,https://setec.mk/image/cache/catalog/Product/72337_0-228x228.jpg,Бела Техника
2440,INDESIT DSFO 3T224 C,Шифра: 72519,"24,999 Ден.","19,995 Ден.",-20%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-45цм/indesit-dsfo-3t224-c72519,https://setec.mk/image/cache/catalog/Product/72519_0-228x228.jpg,Бела Техника
2441,Gorenje GS520E15W,Шифра: 75253,"22,999 Ден.","20,479 Ден.",-11%,https://setec.mk/бела-техника/машини-за-миење-на-садови/машини-за-миење-садови-45цм/gorenje-gs520e15w75253,https://setec.mk/image/cache/catalog/Product/75253_0-228x228.jpg,Бела Техника
